id,country,iso,admin_level_name,pcode,region,category,measure,targeted_pop_group,comments,date_implemented,source,source_type,link,entry_date,alternative_source
1,Afghanistan,AFG,,,Asia,Public health measures,Health screenings in airports and border crossings,f,,02-12-20,Ministry of Health,Government,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,2020-03-14,
2,Afghanistan,AFG,Kabul,,Asia,Public health measures,Introduction of quarantine policies,f,,02-12-20,Ministry of Health,Government,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,2020-03-14,
3,Afghanistan,AFG,,,Asia,Public health measures,Awareness campaigns,f,,02-12-20,Ministry of Health,Government,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,2020-03-14,
4,Afghanistan,AFG,,,Asia,Social and economic measures,Emergency administrative structures activated or established,f,,02-12-20,Ministry of Health,Government,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,2020-03-14,
5,Afghanistan,AFG,,,Asia,Social distancing,Limit public gatherings,f,Nevruz festival cancelled,03-12-20,AA,Media,https://www.aa.com.tr/en/asia-pacific/coronavirus-afghanistan-scraps-annual-nevruz-festival/1763830,2020-03-14,
6,Afghanistan,AFG,,,Asia,Movement restrictions,Border closure,f,Closure of borders with Iran,02-24-20,Guardian,Media,https://www.theguardian.com/global-development/2020/feb/26/coronavirus-in-a-war-zone-afghanistan-braces-for-outbreak-after-first-case,2020-03-14,
8,Afghanistan,AFG,Herat,,Asia,Social distancing,Schools closure,f,,03-01-20,OCHA 09/03/2020,UN,https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf,2020-03-14,
10,Afghanistan,AFG,Herat,,Asia,Social distancing,Limit public gatherings,f,all public gatherings banned,03-01-20,OCHA 09/03/2020,UN,https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf,2020-03-14,
12,Afghanistan,AFG,,,Asia,Public health measures,Strengthening the public health system,f,,03-01-20,OCHA 12/03/2020,UN,https://reliefweb.int/sites/reliefweb.int/files/resources/20200312-sitrep-covid-19.pdf,2020-03-14,
17,Afghanistan,AFG,,,Asia,Social and economic measures,Limit product imports/exports,f,Food imports from Iran and Afghanistan has been limited,03-01-20,US Embassy,Government,https://af.usembassy.gov/covid-19-information/,2020-03-14,
23,Afghanistan,AFG,,,Asia,Movement restrictions,Border checks,t,All China and Iran nationals,02-01-20,US Embassy,Government,https://af.usembassy.gov/covid-19-information/,2020-03-14,
27,Albania,ALB,,,Europe,Movement restrictions,Flights suspension,t,Italy until 3rd April,03-09-20,Tirana Times 09/03/3030,Media,https://www.tiranatimes.com/?p=144490,2020-03-14,
28,Albania,ALB,Tirana and Durres,,Europe,Movement restrictions,Travel restrictions,f,vehicle movement restrictions,03-16-20,US Embassy,Government,https://al.usembassy.gov/updates_covid19/,2020-03-14,
