date,iso,country,scale,note
2020-02-16,CHN,China,Localized,
2020-02-16,CHN,"China, Hong Kong Special Administrative Region",Localized,
2020-02-16,CHN,"China, Macao Special Administrative Region",Localized,
2020-02-17,CHN,China,Localized,
2020-02-17,CHN,"China, Hong Kong Special Administrative Region",Localized,
2020-02-17,CHN,"China, Macao Special Administrative Region",Localized,
2020-02-18,CHN,China,Localized,
2020-02-18,CHN,"China, Hong Kong Special Administrative Region",Localized,
2020-02-18,CHN,"China, Macao Special Administrative Region",Localized,
2020-02-19,CHN,China,Localized,
2020-02-19,CHN,"China, Hong Kong Special Administrative Region",Localized,
2020-02-19,CHN,"China, Macao Special Administrative Region",Localized,
2020-02-19,MNG,Mongolia,National,
2020-02-20,CHN,China,Localized,
2020-02-20,CHN,"China, Hong Kong Special Administrative Region",Localized,
2020-02-20,CHN,"China, Macao Special Administrative Region",Localized,
2020-02-20,MNG,Mongolia,National,
2020-02-21,CHN,China,National,
2020-02-21,CHN,"China, Hong Kong Special Administrative Region",Localized,
2020-02-21,CHN,"China, Macao Special Administrative Region",Localized,
2020-02-21,MNG,Mongolia,National,
2020-02-22,CHN,China,National,
2020-02-22,CHN,"China, Hong Kong Special Administrative Region",Localized,
2020-02-22,CHN,"China, Macao Special Administrative Region",Localized,
2020-02-22,MNG,Mongolia,National,
2020-02-23,CHN,China,National,
2020-02-23,CHN,"China, Hong Kong Special Administrative Region",Localized,
2020-02-23,CHN,"China, Macao Special Administrative Region",Localized,
2020-02-23,MNG,Mongolia,National,
2020-02-24,CHN,China,National,
2020-02-24,CHN,"China, Hong Kong Special Administrative Region",Localized,
2020-02-24,CHN,"China, Macao Special Administrative Region",Localized,
2020-02-24,ITA,Italy,Localized,
2020-02-24,MNG,Mongolia,National,
2020-02-25,CHN,China,National,
2020-02-25,CHN,"China, Hong Kong Special Administrative Region",Localized,
2020-02-25,CHN,"China, Macao Special Administrative Region",Localized,
2020-02-25,ITA,Italy,Localized,
2020-02-25,MNG,Mongolia,National,
2020-02-26,BHR,Bahrain,National,
2020-02-26,CHN,China,National,
2020-02-26,CHN,"China, Hong Kong Special Administrative Region",Localized,
2020-02-26,CHN,"China, Macao Special Administrative Region",Localized,
2020-02-26,IRN,Iran (Islamic Republic of),National,
2020-02-26,ITA,Italy,Localized,
2020-02-26,MNG,Mongolia,National,
2020-02-27,BHR,Bahrain,National,
2020-02-27,CHN,China,National,
2020-02-27,CHN,"China, Hong Kong Special Administrative Region",National,
2020-02-27,CHN,"China, Macao Special Administrative Region",National,
2020-02-27,IRN,Iran (Islamic Republic of),National,
2020-02-27,ITA,Italy,Localized,
2020-02-27,MNG,Mongolia,National,
2020-02-27,PAK,Pakistan,Localized,
2020-02-28,BHR,Bahrain,National,
2020-02-28,CHN,China,National,
2020-02-28,CHN,"China, Hong Kong Special Administrative Region",National,
2020-02-28,CHN,"China, Macao Special Administrative Region",National,
2020-02-28,GBR,United Kingdom of Great Britain and Northern Ireland,Localized,
2020-02-28,IRN,Iran (Islamic Republic of),National,
2020-02-28,IRQ,Iraq,Localized,Universities on term break. Closures not related to COVID-19.
2020-02-28,ITA,Italy,Localized,
2020-02-28,MNG,Mongolia,National,
2020-02-28,PAK,Pakistan,Localized,
2020-02-28,USA,United States of America,Localized,
2020-02-28,VNM,Viet Nam,Localized,
2020-02-29,BHR,Bahrain,National,
2020-02-29,CHN,China,National,
2020-02-29,CHN,"China, Hong Kong Special Administrative Region",National,
2020-02-29,CHN,"China, Macao Special Administrative Region",National,
2020-02-29,GBR,United Kingdom of Great Britain and Northern Ireland,Localized,
2020-02-29,IRN,Iran (Islamic Republic of),National,
2020-02-29,IRQ,Iraq,Localized,Universities on term break. Closures not related to COVID-19.
2020-02-29,ITA,Italy,Localized,
2020-02-29,MNG,Mongolia,National,
2020-02-29,PAK,Pakistan,Localized,
2020-02-29,USA,United States of America,Localized,
2020-02-29,VNM,Viet Nam,Localized,
2020-03-01,BHR,Bahrain,National,
2020-03-01,CHN,China,National,
2020-03-01,CHN,"China, Hong Kong Special Administrative Region",National,
2020-03-01,CHN,"China, Macao Special Administrative Region",National,
2020-03-01,GBR,United Kingdom of Great Britain and Northern Ireland,Localized,
2020-03-01,IRN,Iran (Islamic Republic of),National,
2020-03-01,IRQ,Iraq,Localized,Universities on term break. Closures not related to COVID-19.
2020-03-01,ITA,Italy,Localized,
2020-03-01,MNG,Mongolia,National,
2020-03-01,PAK,Pakistan,Localized,
2020-03-01,USA,United States of America,Localized,
2020-03-01,VNM,Viet Nam,Localized,
2020-03-02,ARM,Armenia,National,
2020-03-02,BHR,Bahrain,National,
2020-03-02,CHN,China,National,
2020-03-02,CHN,"China, Hong Kong Special Administrative Region",National,
2020-03-02,CHN,"China, Macao Special Administrative Region",National,
2020-03-02,GBR,United Kingdom of Great Britain and Northern Ireland,Localized,
2020-03-02,GEO,Georgia,National,
2020-03-02,IRN,Iran (Islamic Republic of),National,
2020-03-02,IRQ,Iraq,Localized,Universities on term break. Closures not related to COVID-19.
2020-03-02,ITA,Italy,Localized,
2020-03-02,JPN,Japan,National,
2020-03-02,KOR,Republic of Korea,National,"Following an initial postponement of 2 weeks, universities have started the academic year. Group and face-to-face classes are strongly discouraged, and universities are offering online classes."
2020-03-02,KWT,Kuwait,National,
2020-03-02,LBN,Lebanon,National,
2020-03-02,MNG,Mongolia,National,
2020-03-02,PAK,Pakistan,Localized,
2020-03-02,PRK,Democratic People's Republic of Korea,National,
2020-03-02,USA,United States of America,Localized,
2020-03-02,VNM,Viet Nam,Localized,
2020-03-03,AFG,Afghanistan,Localized,
2020-03-03,ARM,Armenia,National,
2020-03-03,AZE,Azerbaijan,National,
2020-03-03,BHR,Bahrain,National,
2020-03-03,CHN,China,National,
2020-03-03,CHN,"China, Hong Kong Special Administrative Region",National,
2020-03-03,CHN,"China, Macao Special Administrative Region",National,
2020-03-03,DEU,Germany,Localized,
2020-03-03,FRA,France,Localized,
2020-03-03,GBR,United Kingdom of Great Britain and Northern Ireland,Localized,
2020-03-03,GEO,Georgia,National,
2020-03-03,IRN,Iran (Islamic Republic of),National,
2020-03-03,IRQ,Iraq,Localized,Universities on term break. Closures not related to COVID-19.
2020-03-03,ITA,Italy,Localized,
2020-03-03,JPN,Japan,National,
2020-03-03,KEN,Kenya,National,
2020-03-03,KOR,Republic of Korea,National,"Following an initial postponement of 2 weeks, universities have started the academic year. Group and face-to-face classes are strongly discouraged, and universities are offering online classes."
2020-03-03,KWT,Kuwait,National,
2020-03-03,LBN,Lebanon,National,
2020-03-03,MNG,Mongolia,National,
2020-03-03,PAK,Pakistan,Localized,
2020-03-03,PRK,Democratic People's Republic of Korea,National,
2020-03-03,USA,United States of America,Localized,
2020-03-03,VNM,Viet Nam,Localized,
2020-03-04,AFG,Afghanistan,Localized,
2020-03-04,ARM,Armenia,National,
2020-03-04,AZE,Azerbaijan,National,
2020-03-04,BHR,Bahrain,National,
2020-03-04,CHN,China,National,
2020-03-04,CHN,"China, Hong Kong Special Administrative Region",National,
2020-03-04,CHN,"China, Macao Special Administrative Region",National,
2020-03-04,DEU,Germany,Localized,
2020-03-04,FRA,France,Localized,
2020-03-04,GBR,United Kingdom of Great Britain and Northern Ireland,Localized,
2020-03-04,GEO,Georgia,National,
2020-03-04,IND,India,Localized,"While no national level announcement has been made, 27 of 28 states and 5 of 8 union territories have announced school closures with some variations in school levels."
2020-03-04,IRN,Iran (Islamic Republic of),National,
2020-03-04,IRQ,Iraq,Localized,Universities on term break. Closures not related to COVID-19.
2020-03-04,ITA,Italy,National,
2020-03-04,JPN,Japan,National,
2020-03-04,KEN,Kenya,National,
2020-03-04,KOR,Republic of Korea,National,"Following an initial postponement of 2 weeks, universities have started the academic year. Group and face-to-face classes are strongly discouraged, and universities are offering online classes."
2020-03-04,KWT,Kuwait,National,
2020-03-04,LBN,Lebanon,National,
2020-03-04,MNG,Mongolia,National,
2020-03-04,PAK,Pakistan,Localized,
2020-03-04,PRK,Democratic People's Republic of Korea,National,
2020-03-04,USA,United States of America,Localized,
2020-03-04,VNM,Viet Nam,Localized,
2020-03-05,AFG,Afghanistan,Localized,
2020-03-05,ARM,Armenia,National,
2020-03-05,AZE,Azerbaijan,National,
2020-03-05,BHR,Bahrain,National,
2020-03-05,CHN,China,National,
2020-03-05,CHN,"China, Hong Kong Special Administrative Region",National,
2020-03-05,CHN,"China, Macao Special Administrative Region",National,
2020-03-05,DEU,Germany,Localized,
2020-03-05,FRA,France,Localized,
