country,iso3,inform_risk,inform_p2p_hazard_and_exposure_dimension,population_density,population_living_in_urban_areas,proportion_of_population_with_basic_handwashing_facilities_on_premises,people_using_at_least_basic_sanitation_services,inform_vulnerability,inform_health_conditions,inform_epidemic_vulnerability,mortality_rate_under_5,prevalence_of_undernourishment,inform_lack_of_coping_capacity,inform_access_to_healthcare,inform_epidemic_lack_of_coping_capacity,physicians_density,current_health_expenditure_per_capita,maternal_mortality_ratio
Afghanistan,AFG,8,6.2,56.94,25.495000000000001,37.75,43.417610000000003,8.1999999999999993,2.1,4.5,67.900001525878906,29.8,7.2,7.6,6.7,2.84,162.78,396.00
Albania,ALB,3,3.6,104.61,60.319000000000003,No data,97.718369999999993,1.6,0.2,3.7,8.8000001907348597,6.2,4.2,3.7,4.9000000000000004,12.00,759.67,29.00
Algeria,DZA,4,4.3,17.73,72.629000000000005,83.74,87.586569999999995,2.9,0.4,5.9,24,3.9,4.4000000000000004,3.8,3.6,18.30,998.15,140.00
Angola,AGO,5.2,6.7,24.71,65.513999999999996,26.66,49.876980000000003,5,5,5.8,81.099998474121094,25,7.1,8.1,5.4,2.15,185.82,477.00
Antigua and Barbuda,ATG,2.2999999999999998,2.8,218.83,24.599,No data,87.504279999999994,1.7,0,3.5,7.4000000953674299,18.100000000000001,3.8,4.3,3.2,27.65,976.39,No data
Argentina,ARG,2.7,3.3,16.26,91.87,No data,94.258510000000001,1.9,0.3,5.6,10.3999996185303,4.5999999999999996,3.5,2.1,3.3,39.60,1531.04,52.00
Armenia,ARM,3.6,3.3,103.68,63.149000000000001,94.04,93.642310000000009,2.6,0.3,4.0999999999999996,12.6000003814697,4.3,4.8,2.7,2.9,28.99,876.86,25.00
Australia,AUS,2.2999999999999998,2.5,3.25,86.012,No data,99.991150000000005,2.2000000000000002,0.1,5.8,3.5,2.4,2.1,0.5,1.1000000000000001,35.87,4529.89,6.00
Austria,AUT,1.6,2.5,107.21,58.296999999999997,No data,99.972909999999999,2.6,0.1,4.0999999999999996,3.5999999046325701,2.4,1.4,0.5,2.2999999999999998,51.44,5295.18,4.00
Azerbaijan,AZE,4.5999999999999996,4.0999999999999996,120.27,55.68,83.24,92.511449999999996,4.0999999999999996,0.8,6.2,23,2.4,4.7,2.1,3.2,34.47,1193.06,25.00
Bahamas,BHS,2.2000000000000002,3.4,38.53,83.025000000000006,No data,94.930580000000006,1.8,1.6,4.7,7.1999998092651403,18.100000000000001,3.2,3.3,2.7,19.37,1435.57,80.00
Bahrain,BHR,1.3,6.4,2017.27,89.287000000000006,No data,100,1.1000000000000001,0.1,4.4000000000000004,7.3000001907348597,7.1,3.2,3,1.9,9.26,1866.30,15.00
Bangladesh,BGD,6,5.8,1239.58,36.631999999999998,34.81,48.233240000000002,5.7,2,7.8,32.400001525878899,14.7,5.0999999999999996,5.2,3.9,5.27,90.60,176.00
Barbados,BRB,1.9,3,666.61,31.146999999999998,88.47,97.279380000000003,1.4,1.1000000000000001,5.7,12.3999996185303,3.9,2.5,3,1.7,24.89,1322.99,27.00
Belarus,BLR,1.9,2.7,46.73,78.594999999999999,No data,97.790959999999998,1.2,0.6,5.5,3.7000000476837198,2.4,2.9,1.6,2.1,40.77,1151.41,4.00
Belgium,BEL,1.9,3.4,377.21,98.001000000000005,No data,99.486059999999995,1.9,0.1,5.8,3.7999999523162802,2.4,1.8,0.7,1.7,33.23,4667.88,7.00
