region_type,city,state,country,percent_yoy_change,date
cities,Atlanta,Georgia,United States,6,2020-02-18
cities,Atlanta,Georgia,United States,9,2020-02-19
cities,Atlanta,Georgia,United States,-5,2020-02-20
cities,Atlanta,Georgia,United States,-5,2020-02-21
cities,Atlanta,Georgia,United States,-3,2020-02-22
cities,Atlanta,Georgia,United States,-7,2020-02-23
cities,Atlanta,Georgia,United States,-6,2020-02-24
cities,Atlanta,Georgia,United States,1,2020-02-25
cities,Atlanta,Georgia,United States,-3,2020-02-26
cities,Atlanta,Georgia,United States,-4,2020-02-27
cities,Atlanta,Georgia,United States,7,2020-02-28
cities,Atlanta,Georgia,United States,1,2020-02-29
cities,Atlanta,Georgia,United States,8,2020-03-01
cities,Atlanta,Georgia,United States,-17,2020-03-02
cities,Atlanta,Georgia,United States,-21,2020-03-03
cities,Atlanta,Georgia,United States,-11,2020-03-04
cities,Atlanta,Georgia,United States,-9,2020-03-05
cities,Atlanta,Georgia,United States,-2,2020-03-06
cities,Atlanta,Georgia,United States,1,2020-03-07
cities,Atlanta,Georgia,United States,13,2020-03-08
cities,Atlanta,Georgia,United States,1,2020-03-09
cities,Atlanta,Georgia,United States,-14,2020-03-10
cities,Atlanta,Georgia,United States,-14,2020-03-11
cities,Atlanta,Georgia,United States,-26,2020-03-12
cities,Atlanta,Georgia,United States,-35,2020-03-13
cities,Atlanta,Georgia,United States,-34,2020-03-14
cities,Atlanta,Georgia,United States,-44,2020-03-15
cities,Atlanta,Georgia,United States,-78,2020-03-16
cities,Atlanta,Georgia,United States,-93,2020-03-17
cities,Atlanta,Georgia,United States,-96,2020-03-18
cities,Atlanta,Georgia,United States,-97,2020-03-19
cities,Atlanta,Georgia,United States,-99,2020-03-20
cities,Atlanta,Georgia,United States,-100,2020-03-21
cities,Atlanta,Georgia,United States,-100,2020-03-22
cities,Atlanta,Georgia,United States,-100,2020-03-23
cities,Atlanta,Georgia,United States,-100,2020-03-24
cities,Atlanta,Georgia,United States,-100,2020-03-25
cities,Atlanta,Georgia,United States,-100,2020-03-26
cities,Atlanta,Georgia,United States,-100,2020-03-27
cities,Atlanta,Georgia,United States,-100,2020-03-28
cities,Atlanta,Georgia,United States,-100,2020-03-29
cities,Atlanta,Georgia,United States,-100,2020-03-30
cities,Austin,Texas,United States,0,2020-02-18
cities,Austin,Texas,United States,-6,2020-02-19
cities,Austin,Texas,United States,2,2020-02-20
cities,Austin,Texas,United States,3,2020-02-21
cities,Austin,Texas,United States,2,2020-02-22
cities,Austin,Texas,United States,5,2020-02-23
cities,Austin,Texas,United States,3,2020-02-24
cities,Austin,Texas,United States,5,2020-02-25
cities,Austin,Texas,United States,-3,2020-02-26
cities,Austin,Texas,United States,0,2020-02-27
cities,Austin,Texas,United States,8,2020-02-28
cities,Austin,Texas,United States,9,2020-02-29
cities,Austin,Texas,United States,2,2020-03-01
cities,Austin,Texas,United States,0,2020-03-02
cities,Austin,Texas,United States,-8,2020-03-03
cities,Austin,Texas,United States,-11,2020-03-04
cities,Austin,Texas,United States,-6,2020-03-05
cities,Austin,Texas,United States,0,2020-03-06
cities,Austin,Texas,United States,-13,2020-03-07
cities,Austin,Texas,United States,-23,2020-03-08
cities,Austin,Texas,United States,-41,2020-03-09
cities,Austin,Texas,United States,-31,2020-03-10
cities,Austin,Texas,United States,-30,2020-03-11
cities,Austin,Texas,United States,-27,2020-03-12
cities,Austin,Texas,United States,-35,2020-03-13
cities,Austin,Texas,United States,-36,2020-03-14
cities,Austin,Texas,United States,-54,2020-03-15
cities,Austin,Texas,United States,-71,2020-03-16
cities,Austin,Texas,United States,-99,2020-03-17
cities,Austin,Texas,United States,-100,2020-03-18
cities,Austin,Texas,United States,-100,2020-03-19
cities,Austin,Texas,United States,-100,2020-03-20
cities,Austin,Texas,United States,-100,2020-03-21
cities,Austin,Texas,United States,-100,2020-03-22
cities,Austin,Texas,United States,-100,2020-03-23
cities,Austin,Texas,United States,-100,2020-03-24
cities,Austin,Texas,United States,-99,2020-03-25
cities,Austin,Texas,United States,-100,2020-03-26
cities,Austin,Texas,United States,-100,2020-03-27
cities,Austin,Texas,United States,-100,2020-03-28
cities,Austin,Texas,United States,-100,2020-03-29
cities,Austin,Texas,United States,-100,2020-03-30
cities,Baltimore,Maryland,United States,10,2020-02-18
cities,Baltimore,Maryland,United States,42,2020-02-19
cities,Baltimore,Maryland,United States,12,2020-02-20
cities,Baltimore,Maryland,United States,-9,2020-02-21
cities,Baltimore,Maryland,United States,12,2020-02-22
cities,Baltimore,Maryland,United States,16,2020-02-23
cities,Baltimore,Maryland,United States,20,2020-02-24
cities,Baltimore,Maryland,United States,9,2020-02-25
cities,Baltimore,Maryland,United States,-4,2020-02-26
cities,Baltimore,Maryland,United States,-1,2020-02-27
cities,Baltimore,Maryland,United States,14,2020-02-28
cities,Baltimore,Maryland,United States,4,2020-02-29
cities,Baltimore,Maryland,United States,16,2020-03-01
cities,Baltimore,Maryland,United States,-19,2020-03-02
cities,Baltimore,Maryland,United States,-5,2020-03-03
cities,Baltimore,Maryland,United States,23,2020-03-04
cities,Baltimore,Maryland,United States,8,2020-03-05
cities,Baltimore,Maryland,United States,8,2020-03-06
cities,Baltimore,Maryland,United States,14,2020-03-07
cities,Baltimore,Maryland,United States,-4,2020-03-08
cities,Baltimore,Maryland,United States,-17,2020-03-09
cities,Baltimore,Maryland,United States,-34,2020-03-10
cities,Baltimore,Maryland,United States,-22,2020-03-11
cities,Baltimore,Maryland,United States,-30,2020-03-12
cities,Baltimore,Maryland,United States,-30,2020-03-13
cities,Baltimore,Maryland,United States,-39,2020-03-14
cities,Baltimore,Maryland,United States,-48,2020-03-15
cities,Baltimore,Maryland,United States,-75,2020-03-16
cities,Baltimore,Maryland,United States,-100,2020-03-17
cities,Baltimore,Maryland,United States,-100,2020-03-18
cities,Baltimore,Maryland,United States,-100,2020-03-19
cities,Baltimore,Maryland,United States,-100,2020-03-20
cities,Baltimore,Maryland,United States,-100,2020-03-21
cities,Baltimore,Maryland,United States,-100,2020-03-22
cities,Baltimore,Maryland,United States,-100,2020-03-23
cities,Baltimore,Maryland,United States,-100,2020-03-24
cities,Baltimore,Maryland,United States,-100,2020-03-25
cities,Baltimore,Maryland,United States,-100,2020-03-26
cities,Baltimore,Maryland,United States,-100,2020-03-27
cities,Baltimore,Maryland,United States,-100,2020-03-28
cities,Baltimore,Maryland,United States,-100,2020-03-29
cities,Baltimore,Maryland,United States,-100,2020-03-30
cities,Boston,Massachusetts,United States,5,2020-02-18
cities,Boston,Massachusetts,United States,15,2020-02-19
cities,Boston,Massachusetts,United States,-3,2020-02-20
cities,Boston,Massachusetts,United States,-12,2020-02-21
cities,Boston,Massachusetts,United States,-2,2020-02-22
