region_type,country,percent_yoy_change,date
countries,Global,-1,2020-02-18
countries,Global,3,2020-02-19
countries,Global,-1,2020-02-20
countries,Global,-2,2020-02-21
countries,Global,1,2020-02-22
countries,Global,4,2020-02-23
countries,Global,1,2020-02-24
countries,Global,1,2020-02-25
countries,Global,-2,2020-02-26
countries,Global,-3,2020-02-27
countries,Global,-1,2020-02-28
countries,Global,1,2020-02-29
countries,Global,0,2020-03-01
countries,Global,-8,2020-03-02
countries,Global,-9,2020-03-03
countries,Global,-6,2020-03-04
countries,Global,-7,2020-03-05
countries,Global,-7,2020-03-06
countries,Global,-4,2020-03-07
countries,Global,-3,2020-03-08
countries,Global,-14,2020-03-09
countries,Global,-18,2020-03-10
countries,Global,-19,2020-03-11
countries,Global,-28,2020-03-12
countries,Global,-36,2020-03-13
countries,Global,-40,2020-03-14
countries,Global,-47,2020-03-15
countries,Global,-56,2020-03-16
countries,Global,-83,2020-03-17
countries,Global,-89,2020-03-18
countries,Global,-96,2020-03-19
countries,Global,-98,2020-03-20
countries,Global,-99,2020-03-21
countries,Global,-99,2020-03-22
countries,Global,-100,2020-03-23
countries,Global,-100,2020-03-24
countries,Global,-100,2020-03-25
countries,Global,-100,2020-03-26
countries,Global,-100,2020-03-27
countries,Global,-100,2020-03-28
countries,Global,-100,2020-03-29
countries,Global,-100,2020-03-30
countries,Australia,-3,2020-02-18
countries,Australia,-6,2020-02-19
countries,Australia,-3,2020-02-20
countries,Australia,-1,2020-02-21
countries,Australia,0,2020-02-22
countries,Australia,0,2020-02-23
countries,Australia,0,2020-02-24
countries,Australia,-2,2020-02-25
countries,Australia,-2,2020-02-26
countries,Australia,-7,2020-02-27
countries,Australia,0,2020-02-28
countries,Australia,-1,2020-02-29
countries,Australia,4,2020-03-01
countries,Australia,-12,2020-03-02
countries,Australia,-6,2020-03-03
countries,Australia,-12,2020-03-04
countries,Australia,-8,2020-03-05
countries,Australia,-6,2020-03-06
countries,Australia,-3,2020-03-07
countries,Australia,-4,2020-03-08
countries,Australia,-10,2020-03-09
countries,Australia,-4,2020-03-10
countries,Australia,-10,2020-03-11
countries,Australia,-12,2020-03-12
countries,Australia,-8,2020-03-13
countries,Australia,-11,2020-03-14
countries,Australia,-12,2020-03-15
countries,Australia,-30,2020-03-16
countries,Australia,-43,2020-03-17
countries,Australia,-50,2020-03-18
countries,Australia,-53,2020-03-19
countries,Australia,-52,2020-03-20
countries,Australia,-54,2020-03-21
countries,Australia,-66,2020-03-22
countries,Australia,-100,2020-03-23
countries,Australia,-100,2020-03-24
countries,Australia,-100,2020-03-25
countries,Australia,-100,2020-03-26
countries,Australia,-100,2020-03-27
countries,Australia,-100,2020-03-28
countries,Australia,-100,2020-03-29
countries,Australia,-100,2020-03-30
countries,Canada,-5,2020-02-18
countries,Canada,0,2020-02-19
countries,Canada,-3,2020-02-20
countries,Canada,-2,2020-02-21
countries,Canada,-1,2020-02-22
countries,Canada,8,2020-02-23
countries,Canada,-2,2020-02-24
countries,Canada,-3,2020-02-25
countries,Canada,1,2020-02-26
countries,Canada,-12,2020-02-27
countries,Canada,-8,2020-02-28
countries,Canada,-4,2020-02-29
countries,Canada,-7,2020-03-01
countries,Canada,-12,2020-03-02
countries,Canada,-7,2020-03-03
countries,Canada,-2,2020-03-04
countries,Canada,-4,2020-03-05
countries,Canada,-8,2020-03-06
countries,Canada,-9,2020-03-07
countries,Canada,-1,2020-03-08
countries,Canada,-13,2020-03-09
countries,Canada,-18,2020-03-10
countries,Canada,-19,2020-03-11
countries,Canada,-28,2020-03-12
countries,Canada,-40,2020-03-13
countries,Canada,-41,2020-03-14
countries,Canada,-47,2020-03-15
countries,Canada,-60,2020-03-16
countries,Canada,-94,2020-03-17
countries,Canada,-97,2020-03-18
countries,Canada,-99,2020-03-19
countries,Canada,-100,2020-03-20
countries,Canada,-100,2020-03-21
countries,Canada,-100,2020-03-22
countries,Canada,-100,2020-03-23
countries,Canada,-100,2020-03-24
countries,Canada,-100,2020-03-25
countries,Canada,-100,2020-03-26
countries,Canada,-100,2020-03-27
countries,Canada,-100,2020-03-28
countries,Canada,-100,2020-03-29
countries,Canada,-100,2020-03-30
countries,Germany,11,2020-02-18
countries,Germany,4,2020-02-19
countries,Germany,3,2020-02-20
countries,Germany,5,2020-02-21
countries,Germany,1,2020-02-22
countries,Germany,2,2020-02-23
countries,Germany,11,2020-02-24
countries,Germany,4,2020-02-25
countries,Germany,5,2020-02-26
countries,Germany,5,2020-02-27
countries,Germany,11,2020-02-28
countries,Germany,7,2020-02-29
countries,Germany,9,2020-03-01
countries,Germany,-8,2020-03-02
countries,Germany,0,2020-03-03
countries,Germany,-4,2020-03-04
countries,Germany,-6,2020-03-05
countries,Germany,-7,2020-03-06
countries,Germany,4,2020-03-07
countries,Germany,11,2020-03-08
countries,Germany,-10,2020-03-09
countries,Germany,-16,2020-03-10
countries,Germany,-11,2020-03-11
countries,Germany,-17,2020-03-12
countries,Germany,-28,2020-03-13
countries,Germany,-38,2020-03-14
countries,Germany,-46,2020-03-15
countries,Germany,-63,2020-03-16
countries,Germany,-90,2020-03-17
countries,Germany,-95,2020-03-18
countries,Germany,-98,2020-03-19
countries,Germany,-99,2020-03-20
countries,Germany,-100,2020-03-21
countries,Germany,-100,2020-03-22
countries,Germany,-100,2020-03-23
countries,Germany,-100,2020-03-24
countries,Germany,-100,2020-03-25
countries,Germany,-100,2020-03-26
countries,Germany,-100,2020-03-27
countries,Germany,-100,2020-03-28
countries,Germany,-100,2020-03-29
countries,Germany,-100,2020-03-30
countries,Ireland,2,2020-02-18
countries,Ireland,0,2020-02-19
countries,Ireland,4,2020-02-20
countries,Ireland,1,2020-02-21
countries,Ireland,-3,2020-02-22
countries,Ireland,4,2020-02-23
countries,Ireland,-9,2020-02-24
countries,Ireland,-8,2020-02-25
countries,Ireland,-10,2020-02-26
