region_type,state,country,percent_yoy_change,date
states,Alabama,United States,-14,2020-02-18
states,Alabama,United States,7,2020-02-19
states,Alabama,United States,1,2020-02-20
states,Alabama,United States,-2,2020-02-21
states,Alabama,United States,8,2020-02-22
states,Alabama,United States,2,2020-02-23
states,Alabama,United States,1,2020-02-24
states,Alabama,United States,0,2020-02-25
states,Alabama,United States,-8,2020-02-26
states,Alabama,United States,-3,2020-02-27
states,Alabama,United States,-3,2020-02-28
states,Alabama,United States,-11,2020-02-29
states,Alabama,United States,2,2020-03-01
states,Alabama,United States,-32,2020-03-02
states,Alabama,United States,-29,2020-03-03
states,Alabama,United States,-23,2020-03-04
states,Alabama,United States,-15,2020-03-05
states,Alabama,United States,-3,2020-03-06
states,Alabama,United States,11,2020-03-07
states,Alabama,United States,-10,2020-03-08
states,Alabama,United States,-11,2020-03-09
states,Alabama,United States,-26,2020-03-10
states,Alabama,United States,-8,2020-03-11
states,Alabama,United States,-2,2020-03-12
states,Alabama,United States,-24,2020-03-13
states,Alabama,United States,-28,2020-03-14
states,Alabama,United States,-38,2020-03-15
states,Alabama,United States,-57,2020-03-16
states,Alabama,United States,-74,2020-03-17
states,Alabama,United States,-78,2020-03-18
states,Alabama,United States,-97,2020-03-19
states,Alabama,United States,-100,2020-03-20
states,Alabama,United States,-100,2020-03-21
states,Alabama,United States,-100,2020-03-22
states,Alabama,United States,-100,2020-03-23
states,Alabama,United States,-100,2020-03-24
states,Alabama,United States,-100,2020-03-25
states,Alabama,United States,-100,2020-03-26
states,Alabama,United States,-100,2020-03-27
states,Alabama,United States,-100,2020-03-28
states,Alabama,United States,-100,2020-03-29
states,Alabama,United States,-100,2020-03-30
states,Alberta,Canada,2,2020-02-18
states,Alberta,Canada,10,2020-02-19
states,Alberta,Canada,2,2020-02-20
states,Alberta,Canada,1,2020-02-21
states,Alberta,Canada,5,2020-02-22
states,Alberta,Canada,0,2020-02-23
states,Alberta,Canada,-1,2020-02-24
states,Alberta,Canada,3,2020-02-25
states,Alberta,Canada,-1,2020-02-26
states,Alberta,Canada,-4,2020-02-27
states,Alberta,Canada,3,2020-02-28
states,Alberta,Canada,2,2020-02-29
states,Alberta,Canada,-4,2020-03-01
states,Alberta,Canada,-10,2020-03-02
states,Alberta,Canada,-4,2020-03-03
states,Alberta,Canada,-1,2020-03-04
states,Alberta,Canada,-8,2020-03-05
states,Alberta,Canada,1,2020-03-06
states,Alberta,Canada,-16,2020-03-07
states,Alberta,Canada,-7,2020-03-08
states,Alberta,Canada,-13,2020-03-09
states,Alberta,Canada,-10,2020-03-10
states,Alberta,Canada,-8,2020-03-11
states,Alberta,Canada,-23,2020-03-12
states,Alberta,Canada,-43,2020-03-13
states,Alberta,Canada,-44,2020-03-14
states,Alberta,Canada,-49,2020-03-15
states,Alberta,Canada,-65,2020-03-16
states,Alberta,Canada,-89,2020-03-17
states,Alberta,Canada,-96,2020-03-18
states,Alberta,Canada,-98,2020-03-19
states,Alberta,Canada,-99,2020-03-20
states,Alberta,Canada,-100,2020-03-21
states,Alberta,Canada,-100,2020-03-22
states,Alberta,Canada,-100,2020-03-23
states,Alberta,Canada,-100,2020-03-24
states,Alberta,Canada,-100,2020-03-25
states,Alberta,Canada,-100,2020-03-26
states,Alberta,Canada,-100,2020-03-27
states,Alberta,Canada,-100,2020-03-28
states,Alberta,Canada,-100,2020-03-29
states,Alberta,Canada,-100,2020-03-30
states,Arizona,United States,0,2020-02-18
states,Arizona,United States,1,2020-02-19
states,Arizona,United States,8,2020-02-20
states,Arizona,United States,4,2020-02-21
states,Arizona,United States,-3,2020-02-22
states,Arizona,United States,5,2020-02-23
states,Arizona,United States,2,2020-02-24
states,Arizona,United States,5,2020-02-25
states,Arizona,United States,1,2020-02-26
states,Arizona,United States,3,2020-02-27
states,Arizona,United States,2,2020-02-28
states,Arizona,United States,1,2020-02-29
states,Arizona,United States,-2,2020-03-01
states,Arizona,United States,-7,2020-03-02
states,Arizona,United States,-10,2020-03-03
states,Arizona,United States,0,2020-03-04
states,Arizona,United States,-4,2020-03-05
states,Arizona,United States,-3,2020-03-06
states,Arizona,United States,-2,2020-03-07
states,Arizona,United States,-3,2020-03-08
states,Arizona,United States,-7,2020-03-09
states,Arizona,United States,-14,2020-03-10
states,Arizona,United States,-20,2020-03-11
states,Arizona,United States,-18,2020-03-12
states,Arizona,United States,-26,2020-03-13
states,Arizona,United States,-24,2020-03-14
states,Arizona,United States,-37,2020-03-15
states,Arizona,United States,-54,2020-03-16
states,Arizona,United States,-77,2020-03-17
states,Arizona,United States,-93,2020-03-18
states,Arizona,United States,-96,2020-03-19
states,Arizona,United States,-98,2020-03-20
states,Arizona,United States,-100,2020-03-21
states,Arizona,United States,-100,2020-03-22
states,Arizona,United States,-100,2020-03-23
states,Arizona,United States,-100,2020-03-24
states,Arizona,United States,-100,2020-03-25
states,Arizona,United States,-100,2020-03-26
states,Arizona,United States,-100,2020-03-27
states,Arizona,United States,-100,2020-03-28
states,Arizona,United States,-100,2020-03-29
states,Arizona,United States,-100,2020-03-30
states,Baja California Sur,Mexico,-6,2020-02-18
states,Baja California Sur,Mexico,-2,2020-02-19
states,Baja California Sur,Mexico,-2,2020-02-20
states,Baja California Sur,Mexico,-9,2020-02-21
states,Baja California Sur,Mexico,1,2020-02-22
states,Baja California Sur,Mexico,1,2020-02-23
states,Baja California Sur,Mexico,29,2020-02-24
states,Baja California Sur,Mexico,6,2020-02-25
states,Baja California Sur,Mexico,9,2020-02-26
states,Baja California Sur,Mexico,10,2020-02-27
states,Baja California Sur,Mexico,-18,2020-02-28
states,Baja California Sur,Mexico,-13,2020-02-29
states,Baja California Sur,Mexico,-15,2020-03-01
states,Baja California Sur,Mexico,3,2020-03-02
states,Baja California Sur,Mexico,-17,2020-03-03
states,Baja California Sur,Mexico,0,2020-03-04
states,Baja California Sur,Mexico,0,2020-03-05
states,Baja California Sur,Mexico,-8,2020-03-06
states,Baja California Sur,Mexico,-8,2020-03-07
states,Baja California Sur,Mexico,-11,2020-03-08
states,Baja California Sur,Mexico,-17,2020-03-09
states,Baja California Sur,Mexico,-20,2020-03-10
states,Baja California Sur,Mexico,-17,2020-03-11
states,Baja California Sur,Mexico,-12,2020-03-12
states,Baja California Sur,Mexico,-23,2020-03-13
states,Baja California Sur,Mexico,-34,2020-03-14
states,Baja California Sur,Mexico,-29,2020-03-15
states,Baja California Sur,Mexico,-33,2020-03-16
states,Baja California Sur,Mexico,-42,2020-03-17
