reported_date,reporting_country_territory,province_city,confirmed_cases,new_confirmed_cases,total_deaths,new_total_deaths,transmission_classification,total_cases_with_travel_history_to_china,new_cases_with_travel_history_to_china,total_cases_with_possible_or_confirmed_transmission_outside_china,new_cases_with_possible_or_confirmed_transmission_outside_china,total_cases_with_site_of_transmission_under_investigation,new_cases_with_site_of_transmission_under_investigation,place_of_exposure_in_china_cases,place_of_exposure_in_china_cases_new,place_of_exposure_outside_reporting_country_and_china_cases,place_of_exposure_outside_reporting_country_and_china_cases_new,place_of_exposure_in_reporting_country_cases,place_of_exposure_in_reporting_country_cases_new,suspected_cases,daily_suspected_cases,daily_lab_confirmed_cases,daily_clinically_diagnosed_cases,daily_total_cases,cumulative_total_cases,cumulative_lab_confirmed_cases,cumulative_clinically_diagnosed_cases,cumulative_deaths,days_since_last_reported,who_region,population,report_url
2020-03-31,China,,82447,106,3310,4,Local transmission,,,,,,,,,,,,,,,,,,,,,,0,,,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200330-sitrep-70-covid-19.pdf?sfvrsn=7e0fe3f8_2
2020-03-31,Republic of Korea,,9661,78,158,6,Local transmission,,,,,,,,,,,,,,,,,,,,,,0,,,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200330-sitrep-70-covid-19.pdf?sfvrsn=7e0fe3f8_2
2020-03-31,Australia,,3966,0,16,0,Local transmission,,,,,,,,,,,,,,,,,,,,,,1,,,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200330-sitrep-70-covid-19.pdf?sfvrsn=7e0fe3f8_2
2020-03-31,Malaysia,,2470,150,34,7,Local transmission,,,,,,,,,,,,,,,,,,,,,,0,,,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200330-sitrep-70-covid-19.pdf?sfvrsn=7e0fe3f8_2
2020-03-31,Japan,,1866,173,54,2,Local transmission,,,,,,,,,,,,,,,,,,,,,,0,,,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200330-sitrep-70-covid-19.pdf?sfvrsn=7e0fe3f8_2
2020-03-31,Philippines,,1418,343,71,3,Local transmission,,,,,,,,,,,,,,,,,,,,,,0,,,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200330-sitrep-70-covid-19.pdf?sfvrsn=7e0fe3f8_2
2020-03-31,Singapore,,844,42,3,1,Local transmission,,,,,,,,,,,,,,,,,,,,,,0,,,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200330-sitrep-70-covid-19.pdf?sfvrsn=7e0fe3f8_2
2020-03-31,New Zealand,,552,76,1,0,Local transmission,,,,,,,,,,,,,,,,,,,,,,0,,,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200330-sitrep-70-covid-19.pdf?sfvrsn=7e0fe3f8_2
2020-03-31,Viet Nam,,188,9,0,0,Local transmission,,,,,,,,,,,,,,,,,,,,,,0,,,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200330-sitrep-70-covid-19.pdf?sfvrsn=7e0fe3f8_2
2020-03-31,Brunei Darussalam,,126,6,1,0,Local transmission,,,,,,,,,,,,,,,,,,,,,,0,,,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200330-sitrep-70-covid-19.pdf?sfvrsn=7e0fe3f8_2
2020-03-31,Cambodia,,103,1,0,0,Local transmission,,,,,,,,,,,,,,,,,,,,,,0,,,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200330-sitrep-70-covid-19.pdf?sfvrsn=7e0fe3f8_2
2020-03-31,Mongolia,,12,0,0,0,Imported cases only,,,,,,,,,,,,,,,,,,,,,,2,,,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200330-sitrep-70-covid-19.pdf?sfvrsn=7e0fe3f8_2
2020-03-31,Fiji,,5,0,0,0,Local transmission,,,,,,,,,,,,,,,,,,,,,,4,,,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200330-sitrep-70-covid-19.pdf?sfvrsn=7e0fe3f8_2
2020-03-31,Papua New Guinea,,1,0,0,0,Imported cases only,,,,,,,,,,,,,,,,,,,,,,9,,,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200330-sitrep-70-covid-19.pdf?sfvrsn=7e0fe3f8_2
2020-03-31,Guam,,56,0,1,0,Local transmission,,,,,,,,,,,,,,,,,,,,,,1,,,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200330-sitrep-70-covid-19.pdf?sfvrsn=7e0fe3f8_2
2020-03-31,French Polynesia,,35,1,0,0,Local transmission,,,,,,,,,,,,,,,,,,,,,,0,,,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200330-sitrep-70-covid-19.pdf?sfvrsn=7e0fe3f8_2
2020-03-31,New Caledonia,,15,0,0,0,Local transmission,,,,,,,,,,,,,,,,,,,,,,2,,,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200330-sitrep-70-covid-19.pdf?sfvrsn=7e0fe3f8_2
2020-03-31,the),,2,0,0,0,Under investigation,,,,,,,,,,,,,,,,,,,,,,1,,,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200330-sitrep-70-covid-19.pdf?sfvrsn=7e0fe3f8_2
2020-03-31,Italy,,97689,5217,10781,758,Local transmission,,,,,,,,,,,,,,,,,,,,,,0,,,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200330-sitrep-70-covid-19.pdf?sfvrsn=7e0fe3f8_2
