state,total_hospital_beds,total_icu_beds,hospital_bed_occupancy_rate,icu_bed_occupancy_rate,available_hospital_beds,potentially_available_hospital_beds,available_icu_beds,potentially_available_icu_beds,adult_population,population_65,projected_infected_individuals,proejcted_hospitalized_individuals,projected_individuals_needing_icu_care,hospital_beds_needed_six_months,percentage_of_available_beds_needed_six_months,percentage_of_potentially_available_beds_needed_six_months,percentage_of_total_beds_needed_six_months,hospital_beds_needed_twelve_months,percentage_of_available_beds_needed_twelve_months,percentage_of_potentially_available_beds_needed_twelve_months,percentage_of_total_beds_needed_twelve_months,hospital_beds_needed_eighteen_months,percentage_of_available_beds_needed_eighteen_months,percentage_of_potentially_available_beds_needed_eighteen_months,percentage_of_total_beds_needed_eighteen_months,icu_beds_needed_six_months,percentage_of_available_icu_beds_needed_six_months,percentage_of_potentially_available_icu_beds_needed_six_months,percentage_of_total_icu_beds_needed_six_months,icu_beds_needed_twelve_months,percentage_of_available_icu_beds_needed_twelve_months,percentage_of_potentially_available_icu_beds_needed_twelve_months,percentage_of_total_icu_beds_needed_twelve_months,icu_beds_needed_eighteen_months,percentage_of_available_icu_beds_needed_eighteen_months,percentage_of_potentially_available_icu_beds_needed_eighteen_months,percentage_of_total_icu_beds_needed_eighteen_months
AK,1583,130,0.66,0.58,533,1058,55,93,552319,74340,220928,44801,9317,2987,5.6,2.82,1.89,1493,2.8,1.41,0.94,974,1.83,0.92,0.62,621,11.29,6.68,4.78,311,5.65,3.34,2.39,203,3.69,2.18,1.56
AL,13959,1870,0.64,0.68,4994,9476,606,1238,3748089,762032,1499236,313812,67877,20921,4.19,2.21,1.5,10460,2.09,1.1,0.75,6822,1.37,0.72,0.49,4525,7.47,3.66,2.42,2263,3.73,1.83,1.21,1476,2.44,1.19,0.79
AR,8428,856,0.52,0.58,4069,6248,362,609,2272226,476167,908890,190783,41406,12719,3.13,2.04,1.51,6359,1.56,1.02,0.75,4147,1.02,0.66,0.49,2760,7.62,4.53,3.22,1380,3.81,2.27,1.61,900,2.49,1.48,1.05
AZ,12868,1742,0.62,0.53,4938,8903,814,1278,5187520,1106362,2075008,436293,94878,29086,5.89,3.27,2.26,14543,2.95,1.63,1.13,9485,1.92,1.07,0.74,6325,7.77,4.95,3.63,3163,3.89,2.47,1.82,2063,2.53,1.61,1.18
CA,68554,8131,0.67,0.58,22831,45692,3381,5756,29868127,5148448,11947251,2465619,524225,164375,7.2,3.6,2.4,82187,3.6,1.8,1.2,53600,2.35,1.17,0.78,34948,10.34,6.07,4.3,17474,5.17,3.04,2.15,11396,3.37,1.98,1.4
CO,9620,1264,0.58,0.6,4033,6826,500,882,4185186,707396,1674074,344955,73203,22997,5.7,3.37,2.39,11498,2.85,1.68,1.2,7499,1.86,1.1,0.78,4880,9.76,5.53,3.86,2440,4.88,2.77,1.93,1591,3.18,1.8,1.26
CT,6894,731,0.76,0.61,1643,4269,285,508,2831746,575757,1132698,237091,51283,15806,9.62,3.7,2.29,7903,4.81,1.85,1.15,5154,3.14,1.21,0.75,3419,12,6.73,4.68,1709,6,3.36,2.34,1115,3.91,2.19,1.53
DC,2405,401,0.72,0.6,671,1538,159,280,554333,79769,221733,45160,9444,3011,4.49,1.96,1.25,1505,2.24,0.98,0.63,982,1.46,0.64,0.41,630,3.96,2.25,1.57,315,1.98,1.13,0.79,205,1.29,0.73,0.51
DE,1864,249,0.72,0.75,516,1190,63,156,739679,160565,295872,62317,13579,4154,8.05,3.49,2.23,2077,4.03,1.75,1.11,1355,2.63,1.14,0.73,905,14.37,5.8,3.63,453,7.19,2.9,1.82,295,4.68,1.89,1.18
FL,51190,6226,0.66,0.67,17651,34421,2044,4135,16166865,3926889,6466746,1377904,304330,91860,5.2,2.67,1.79,45930,2.6,1.33,0.9,29954,1.7,0.87,0.59,20289,9.93,4.91,3.26,10144,4.96,2.45,1.63,6616,3.24,1.6,1.06
GA,23831,2703,0.7,0.72,7210,15520,752,1728,7702432,1300430,3080973,634801,134696,42320,5.87,2.73,1.78,21160,2.93,1.36,0.89,13800,1.91,0.89,0.58,8980,11.94,5.2,3.32,4490,5.97,2.6,1.66,2928,3.89,1.69,1.08
HI,2623,219,0.7,0.67,795,1709,73,146,1114075,238126,445630,93718,20385,6248,7.86,3.66,2.38,3124,3.93,1.83,1.19,2037,2.56,1.19,0.78,1359,18.62,9.31,6.21,680,9.32,4.66,3.11,443,6.07,3.03,2.02
IA,9309,622,0.56,0.53,4100,6705,293,458,2389398,501026,955759,200633,43546,13376,3.26,1.99,1.44,6688,1.63,1,0.72,4362,1.06,0.65,0.47,2903,9.91,6.34,4.67,1452,4.96,3.17,2.33,947,3.23,2.07,1.52
ID,3267,333,0.51,0.53,1607,2437,155,244,1222764,242449,489106,102143,22033,6810,4.24,2.79,2.08,3405,2.12,1.4,1.04,2220,1.38,0.91,0.68,1469,9.48,6.02,4.41,734,4.74,3.01,2.2,479,3.09,1.96,1.44
IL,30006,3426,0.58,0.59,12580,21293,1410,2418,9895529,1847932,3958212,822282,176247,54819,4.36,2.57,1.83,27409,2.18,1.29,0.91,17876,1.42,0.84,0.6,11750,8.33,4.86,3.43,5875,4.17,2.43,1.71,3831,2.72,1.58,1.12
IN,17433,2358,0.56,0.59,7685,12559,974,1666,5036563,968568,2014625,419584,90211,27972,3.64,2.23,1.6,13986,1.82,1.11,0.8,9121,1.19,0.73,0.52,6014,6.17,3.61,2.55,3007,3.09,1.8,1.28,1961,2.01,1.18,0.83
KS,9120,878,0.53,0.55,4310,6715,391,634,2185546,426273,874218,182300,39253,12153,2.82,1.81,1.33,6077,1.41,0.9,0.67,3963,0.92,0.59,0.43,2617,6.69,4.13,2.98,1308,3.35,2.06,1.49,853,2.18,1.35,0.97
KY,13150,1447,0.6,0.65,5291,9220,504,976,3411784,672706,1364714,284858,61409,18991,3.59,2.06,1.44,9495,1.79,1.03,0.72,6193,1.17,0.67,0.47,4094,8.12,4.19,2.83,2047,4.06,2.1,1.41,1335,2.65,1.37,0.92
LA,13881,1518,0.57,0.58,5990,9936,632,1075,3550728,655848,1420291,294778,63111,19652,3.28,1.98,1.42,9826,1.64,0.99,0.71,6408,1.07,0.64,0.46,4207,6.66,3.91,2.77,2104,3.33,1.96,1.39,1372,2.17,1.28,0.9
MA,13759,1555,0.74,0.63,3603,8681,571,1063,5405787,1049751,2162315,450730,97008,30049,8.34,3.46,2.18,15024,4.17,1.73,1.09,9798,2.72,1.13,0.71,6467,11.33,6.08,4.16,3234,5.66,3.04,2.08,2109,3.69,1.98,1.36
MD,11249,1227,0.71,0.66,3296,7273,422,825,4648466,849185,1859386,385552,82452,25703,7.8,3.53,2.28,12852,3.9,1.77,1.14,8382,2.54,1.15,0.75,5497,13.03,6.66,4.48,2748,6.51,3.33,2.24,1792,4.25,2.17,1.46
ME,3310,288,0.7,0.63,980,2145,107,198,1073331,250131,429332,91078,20014,6072,6.2,2.83,1.83,3036,3.1,1.42,0.92,1980,2.02,0.92,0.6,1334,12.47,6.74,4.63,667,6.23,3.37,2.32,435,4.07,2.2,1.51
MI,24286,2749,0.64,0.64,8855,16571,976,1863,7717047,1575233,3086819,646354,139867,43090,4.87,2.6,1.77,21545,2.43,1.3,0.89,14051,1.59,0.85,0.58,9324,9.55,5,3.39,4662,4.78,2.5,1.7,3041,3.12,1.63,1.11
MN,13423,1277,0.66,0.65,4605,9014,452,864,4204388,803718,1681755,350075,75218,23338,5.07,2.59,1.74,11669,2.53,1.29,0.87,7610,1.65,0.84,0.57,5015,11.1,5.8,3.93,2507,5.55,2.9,1.96,1635,3.62,1.89,1.28
MO,17087,2092,0.6,0.58,6884,11985,874,1483,4685891,956032,1874356,392457,84921,26164,3.8,2.18,1.53,13082,1.9,1.09,0.77,8532,1.24,0.71,0.5,5661,6.48,3.82,2.71,2831,3.24,1.91,1.35,1846,2.11,1.24,0.88
MS,11877,931,0.56,0.58,5255,8566,392,661,2259919,437027,903968,188361,40522,12557,2.39,1.47,1.06,6279,1.19,0.73,0.53,4095,0.78,0.48,0.34,2701,6.89,4.09,2.9,1351,3.45,2.04,1.45,881,2.25,1.33,0.95
MT,3667,248,0.58,0.55,1541,2604,113,180,803704,176138,321482,67775,14785,4518,2.93,1.74,1.23,2259,1.47,0.87,0.62,1473,0.96,0.57,0.4,986,8.73,5.48,3.98,493,4.36,2.74,1.99,321,2.84,1.78,1.29
