adm0_name,iso3,x,y,published,sources,info
Bangladesh,BGD,90.28042,23.927884,2020-04-01,https://www.aa.com.tr/en/asia-pacific/bangladesh-imposes-total-lockdown-over-covid-19/1778272 https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening https://bd.usembassy.gov/covid-19-information/ https://bdnews24.com/bangladesh/2020/03/28/bangladesh-extends-ban-on-all-passenger-flights-bar-those-from-china-to-april-7 https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,"International restrictions: 1. The visa on arrival facility has been suspended for all nationalities. 2. All international flights arriving from Bhutan, Maldives and Sri Lanka are suspended until 7 April 2020. 3. All international flights arriving from Bahrain, India, Kuwait, Malaysia, Oman, Qatar, Saudi Arabia, Singapore, Turkey and United Arab Emirates are suspended until 15 April 2020. 4. Passengers who have been Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden or Switzerland since the 1 March 2020 are not allowed to enter Bangladesh until 7 April 2020. - This does not apply to passengers traveling on diplomatic missions and their family members. 5. Nationals of Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden and Switzerland who reside outside the EU region or Iran since 29 February 2020 can travel to Bangladesh. They must have a visa. 6. Passengers who have a valid visa must show a medical certificate (with English translation) obtained within 72 hours of travel. The medical certificate must be submitted upon arrival and must indicate that the passenger does not have any symptoms of COVID-19. 7. Passengers with Bangladesh origin who do not submit a medical certificate stating that the passenger does not have any symptoms of COVID-19, will be institutionally quarantined in Dhaka for 14 days. 8. Passengers with Bangladesh origin who submits a medical certificate stating that the passenger does not have any symptoms of COVID-19, will be home quarantined in Dhaka for 14 days. If the medical certificate shows that the passenger has symptoms of COVID-19, they will be institutionally quarantined in Dhaka for 14 days. Internal restrictions: On 25 March, the government announced that the country will be “closed” until 9 April. Most forms of transportation such as intercity and commuter busses and trains and ferries have been shut down. All government and private offices will be closed from 26 March to 9 April, apart from essential services."
France,FRA,2.45652,46.627084,2020-04-01,https://fr.usembassy.gov/covid-19-information/ https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm https://biarritz.aeroport.fr/en/ Media,"Passengers arriving from a non-Schengen Member State are not allowed to enter France. - This does not apply to nationals of France. - This does not apply to nationals of an EEA Member States or Switzerland on their way home. - This does not apply to passengers with residence permit issued by France. - This does not apply to passengers with a residence permit issued by an EEA Member States, Switzerland or the United Kingdom on their way home. - This does not apply to healthcare professionals, health researchers related to Coronavirus (Covid-19). Biarritz-Pays Basque Airport is reporting on its website that due to the COVID-19 and the impact on air transport the airport will close Monday, 23 March, until further notice. France 3 reported that Lille-Lesquin Airport in northern France will close for passenger flights from 23 March because of the COVID-19 outbreak. (Reuters 23.03.2020). Paris Orly Airport to close temporarily from 31 March (Business Traveller, 25.03.2020) The French rail operator, SNCF, reported on Twitter the circulation of TGV high-speed and Intercity services will be reduced, while Ouigo trains will be suspended from Friday, 27 March, because of the COVID-19 outbreak. (Media 25.03.2020) Paris Orly (the capital’s second airport) is to close from midnight on March 31, operator Aéroports de Paris has confirmed. Orly’s few remaining flights will be transferred to Paris CDG – the capital’s main airport. Paris CDG itself is not immune from cutbacks owing to the fall in passenger numbers, and it is reported that Terminals 3 and 2G have been temporarily closed. (Media 25.03.2020) Internal restrictions: Travel outside of your home is permitted only in certain cases and you must carry an attestation. The required form is available on the Embassy's COVID-19 webpage https://fr.usembassy.gov/covid-19-information/. Lockdown because of COVID-19 extended until 15 April (Reuters, 27.03.2020)"
New Caledonia,NCL,165.514337,-21.410423,2020-04-01,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,Flights to New Caledonia are suspended until 31 May 2020.
Republic of Korea,KOR,127.843498,36.448643,2020-04-01,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm Gov.uk,"1. Visitors who have been in the Hubei Province (China People's Rep.) in the past 14 days are not allowed to transit or enter Korea (Rep.). 2. Nationals of China (People's Rep) with a passport issued in the Hubei Province are not allowed to enter Korea (Rep.). 3. Korean visas issued by the Wuhan Consulate in the Hubei Province are invalidated. 4. A visa is required to transit through Korea (Rep.) for: - nationals of China (People's Rep.) arriving from China (People's Rep); and - visa required nationals arriving from China (People's Rep.). 5. Visitors arriving from Japan who have been in the cruise ship 'Diamond Princess' are not allowed to transit or enter (Korea Rep.). 6. Visas issued to nationals of Japan (at Korean Diplomatic Missions in Japan) before 9 March 2020 are invalidated. - This does not apply to visas issued outside Japan. Such visas remain valid. - This does not apply to airline crew. 7. Nationals of Japan who do not hold a Korean visa issued on or after 9 March 2020 will not be allowed entry. 8. Passengers arriving from any country will be subject to quarantine procedures. They must install a self-diagnosis application in their personal device and a completed Health Declaration Form and a Special Quarantine Declaration Form must be presented to the quarantine desk upon arrival. - This does not apply to airline crew. 9. Passengers arriving from Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland (Rep.), Italy, Latvia Lithuania, Luxembourg, Malta, Netherland, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Switzerland or United Kingdom will undergo diagnostic check. Passengers with negative result will be under 14 day self-quarantine or will be monitored by the active survey. 10. Nationals and residents of Korea (Rep.) arriving from USA and European countries are required to download 'self-quarantine safety protection mobile app' in addition to the self-diagnosis app. 11. All passengers are subject to mandatory self-quarantine for 14 days."
Tunisia,TUN,9.560349,33.774827,2020-04-01,Sources. https://www.iata.org/contentassets/bc339012ef9e482aaa23d10ee119c20c/trinidad-and-tobago-ncov-measures.pdf International SOS,"1. Passengers who have been or transited in China (People's Rep.), Egypt, France, Germany, Iran, Italy, Korea (Rep.), Spain or the United Kingdom in the past 14 days are not allowed to transit or enter Tunisia. Self-isolation measures for 14 days (no information regarding specific countries) is also in force. - This does not apply to nationals of Tunisia, their partners and children. 2. Nationals of Tunisia, their partners and children who have been or transited in China (People's Rep.), Egypt, France, Germany, Iran, Italy, Korea (Rep.), Spain or the United Kingdom in the past 14 days will be put in quarantine for 14 days. 3. The closure of all maritime borders Internal restrictions: Government extends lockdown until 19 April (Reuters, 01.04.2020) Since 17 March, a curfew is in place daily from 18:00 to 06:00. People are advised to avoid all movement, except for emergencies, health reasons and acquiring essential supplies. Suspension of inter-governorate travel."
Afghanistan,AFG,66.026881,33.831602,2020-03-31,"UNHAS (source: Media, International SOS) https://af.usembassy.gov/covid-19-information/","All passenger operations at DXB and DWC will cease at 23:59 (UAE Local Time) on Thursday 26 March 2020. The suspension will last until 23:59 hours (UAE Local Time) on Thursday, 9th April. No passenger flights from Dubai to Kabul during this period. The Afghan authorities have introduced a number of measures to limit the spread of the virus including point of entry screening at 3 international airports and 11 international crossings. Not everyone is being screened, but those who are and who show a temperature (of more than 38 degrees Celsius) may be quarantined and sent direct to one of 2 national hospitals (Kabul Infectious Disease and Afghan-Japan Communicable Disease Hospital in Kabul) or 5 provincial hospitals for isolation. These hospitals are outside of the Enhanced Security Zone. You should comply with any additional screening measures put in place by the authorities.The National Security Council of Afghanistan has announced that all travel to and from Iran has been temporarily banned to limit the spread of coronavirus. The border with China remains closed. Travellers who have been to China and Iran in the past month are divided from other passengers for medical checks. Those with COVID-19 symptoms are taken to a designated medical facility for further medical tests while those without symptoms are advised to quarantine at home for 14 days. Borders open: Dubai and Istanbul route still open. The land border with Iran reopened on 25 February with screening measures in place on the border. Internal restrictions: The capital Kabul is under lockdown. Restrictions in/out and within the city have been imposed. No more than four people are permitted to travel in vehicles. All government ministries and institutions are closed down, bar the Afghan National Security Forces (ANSF) and Ministry of Public Health. Public places are closed. Measures are not expected to greatly impact NGOs and private corporations but such outfits should nevertheless observe the restrictions that have been imposed."
Argentina,ARG,-63.578123,-31.578414,2020-03-31,https://www.iata.org/contentassets/a3a5dce2606842b09b0a3d99cede1260/argentina-ncov-measures.pdf https://ar.usembassy.gov/covid-19/ International SOS,"Nationwide mandatory quarantine extended until 11 April (Reuters, 29.03.2020) Passengers are not allowed to enter Argentina. All-cargo operations, air crew are exempted but are subject to mandatory quarantine. Foreign travelers in transit through Argentina are allowed entry but must not present any symptoms, must hold outbound ticket and must comply with the requirements set forth by health ministry. Ministry of Transportation has extended the possibility of operating flights from affected areas into Argentina as long as these only carry Argentinian residents. Outbound restrictions: There are currently no known restrictions on individuals seeking to depart the country. Internal restrictions: Argentina’s Ministry of Transportation announced on 19 March domestic flights and long distance trains and buses will be suspended until 25 March. In the capital, Buenos Aires, public transportation will continue with limited operations. As of 19 March, the President announced the country is on lockdown from 19 March until 23.59 on 12 April. Citizens are only permitted to leave their residences for essential purposes. This is being enforced by police and security personnel. Criminal prosecution for those who do not comply. A ban on public gatherings in Buenos Aires province has been extended until 15 April."
Armenia,ARM,44.938387,40.295005,2020-03-31,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening https://am.usembassy.gov/u-s-citizen-services/covid-19-information/,"Armenia has declared a 30-day state of emergency from 16 March. 1. Nationals of China (People's Rep.) with a normal passport are no longer visa exempt. 2. Nationals of Iran can no longer obtain a visa on arrival. They must obtain a visa or an e-visa prior to their arrival in Armenia. The e-visa can be obtained at https://evisa.mfa.am/ 3. From 23 March, citizens of Australia, Canada, China, EU member states, Georgia, Iran, Israel, Japan, Norway, Russia, South Korea, Switzerland, Turkey, the UK and the US will not be permitted to enter Armenia. - This does not apply to nationals or residents of Armenia. - This does not apply to spouses or children of nationals of Armenia. - This does not apply to employees of foreign diplomatic missions and consular institutions. - This does not apply to representations of official international missions or organizations. 4. Nationals of Armenia who have been in Austria, Belgium, China (People's Rep.), Denmark, France, Germany, Iran, Italy, Japan, Korea (Rep.), Netherlands, Norway, Spain, Sweden, Switzerland or United Kingdom (subject to revision) in the past 14 days must undergo 14-days of quarantine or self-isolation regime. In case relevant symptoms are identified, hospitalization, isolation and/or other restrictive measures will be carried out. 5. Citizens of the Republic of Armenia will not be able to leave the territory of the Republic of Armenia by land, except for cargo transport drivers. Citizens of Armenia and foreign nationals traveling to Armenia will undergo intensive checking procedures at Armenian border checkpoints. All flights to/from Russia have been suspended until at least 30 March. The land borders with Iran and Georgia are closed until 16 April. Restrictions have been imposed by Armenia Airways on travel to Iran: only Iranian citizens are allowed to board the Iran-bound flight while only Armenian residents and citizens are allowed to be on Armenia-bound flights. Internal restrictions: Armenia is extending emergency restrictions for another 10 days in an effort to curb the spread of the coronavirus, Prime Minister Nikol Pashinyan said. (Reuters, 31.03.2020)"
Australia,AUS,134.354708,-25.573209,2020-03-31,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening https://au.usembassy.gov/covid-19-information/,"1. Passengers are not allowed to transit or enter Australia. - This does not apply to nationals of Australia. - This does not apply to the immediate family members of nationals of Australia. - This does not apply to permanent residents of Australia and their immediate family members. - This does not apply to nationals of New Zealand residing in Australia. - This does not apply to airline crew. - This does not apply to diplomats accredited to Australia and currently resident in Australia, and their immediate family members. - This does not apply to nationals of Fiji, Kiribati, Marshall Isl., Micronesia (Federated States), Nauru, New Zealand, Niue, Palau, Papua New Guinea, Samoa (American), Solomon Isl., Tonga, Tuvalu and Vanuatu when they are transiting through Australia to their home country. - This does not apply to passengers who reside in Cook Isl., French Polynesia or New Caledonia when they are transiting through Australia to their home country. 2. All passengers are required to self-isolate for a period of 14 days at their first arrival location in Australia. If their duration of stay is less than 14 days, they must self-isolate for the entire duration of stay. - This does not apply to airline crew with the appropriate personal protective equipment. 3. Nationals of Australia are not allowed to travel out of Australia. This does not apply to the following: - Persons ordinarily resident in a country other than Australia; - Airline and maritime crew and associated safety workers; - Persons engaged in the day to day conduct of outbound and inbound freight; - Persons whose travel is associated with essential work at offshore facilities; and - Persons travelling on official government business, including members of the Australian Defence Force. Internal restrictions: South Australia, Northern Territory, Western Australia, Queensland and Tasmania has closed its borders. Entry into several of the states are denied except to those travelling for essential purposes and residents. New South Wales and Victoria are now the only jurisdictions without additional movement restrictions."
Belgium,BEL,4.660713,50.640947,2020-03-31,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening Reuters https://be.usembassy.gov/covid-19-information/,"1. Passengers are not allowed to enter Belgium. This does not apply to: - Passengers arriving from Austria, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland (Rep.), Italy, Latvia, Lithuania, Liechtenstein, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Switzerland or United Kingdom. - Nationals of EEA Member States and Switzerland returning home. - Passengers with a British passport with nationality “British Citizen"", “British Overseas Territories Citizen"" issued by Gibraltar and British Passports with a Certificate of Entitlement to the Right of Abode issued by the United Kingdom, returning home. - Passengers with a long term residence permit or a long term visa issued by EEA Member States, Switzerland or the United Kingdom. - Family members of nationals of EEA Member States, Switzerland, and of British nationals; - Diplomats; - Personnel of international and humanitarian organizations; - Humanitarian aid workers; - Military personnel. 2. Passenger flights are only allowed to operate between 7:00 and 21:00. - This does not apply to humanitarian, repatriation and United Nations flights. 3. Belgium is implementing border controls Brussels South Charleroi Airport (CRL) will be closed from 23.59 (local time) on 24 March until 5 April. The airport could partially resume its commercial activities from Sunday, May 3, at 11:59 p.m. (The Brussels Times 31.03.2020)"
